92.75,2409.75,0.0237,1.1347
91,2425.18,0.02393,1.1425
92,2427.43,0.02371,1.1404
99.5,2425.53,0.02362,1.1404
103.25,2443.25,0.02327,1.1474
105,2447.83,0.02348,1.1419
104.5,2459.27,0.02319,1.1404
103.5,2459.14,0.02309,1.1475
98.5,2460.61,0.02263,1.1474
99.25,2473.83,0.02268,1.155
99,2473.45,0.02266,1.1528
94,2472.54,0.02232,1.1629
90.5,2469.91,0.02254,1.1682
91.25,2477.13,0.02326,1.1639
91.25,2477.83,0.02282,1.1645
91.5,2475.42,0.0231,1.1728
91.5,2472.1,0.02289,1.1689
95,2470.3,0.02292,1.1747
95.75,2476.35,0.02251,1.1824
93.5,2477.57,0.02262,1.1811
93.5,2472.16,0.02228,1.1851
95,2476.83,0.02267,1.1885
95,2480.91,0.02257,1.1778
95.25,2474.92,0.02283,1.1801
94.25,2474.02,0.02241,1.1755
94,2438.21,0.02212,1.1762
93.25,2441.32,0.02189,1.177
92.25,2465.84,0.02219,1.1826
93.5,2464.61,0.02266,1.1776
95,2468.11,0.02226,1.1741
94.25,2430.01,0.02199,1.1774
92,2425.55,0.02194,1.1716
90.5,2428.37,0.0218,1.1756
91,2452.51,0.02215,1.1812
90,2444.04,0.02171,1.1762
93.5,2438.97,0.02194,1.1817
93,2443.05,0.02169,1.1802
96.5,2444.24,0.02159,1.1952
92,2446.3,0.02136,1.1964
93.5,2457.59,0.02143,1.197
94,2471.65,0.02121,1.1893
92.25,2476.55,0.02157,1.191
90.25,2476.55,0.02157,1.1883
88.75,2457.85,0.0207,1.1893
87.25,2465.54,0.02108,1.1924
85.25,2465.1,0.02061,1.1928
84,2461.43,0.02061,1.2029
84.5,2488.11,0.02125,1.2018
87.5,2496.48,0.02171,1.1959
88.5,2498.37,0.02195,1.1975
88,2495.62,0.02197,1.1891
87,2500.23,0.02202,1.1922
85.5,2503.87,0.02229,1.1937
84.5,2506.65,0.02243,1.1959
82,2508.24,0.02277,1.1993
84.75,2500.6,0.02278,1.1872
85,2502.22,0.02262,1.1946
84.75,2496.66,0.0222,1.1927
84.75,2496.84,0.02229,1.1856
83,2507.04,0.02309,1.1786
83,2510.06,0.02309,1.175
84.5,2519.36,0.02326,1.1782
85,2529.12,0.02337,1.1807
86.25,2534.58,0.02334,1.1734
85.5,2537.74,0.0233,1.1748
85.75,2552.07,0.0235,1.1757
88,2549.33,0.0237,1.1712
91.75,2544.73,0.02361,1.1742
92.5,2550.64,0.02345,1.1742
94,2555.24,0.02345,1.1815
94,2550.93,0.02323,1.1865
100,2553.17,0.0228,1.1832
99.25,2557.64,0.02307,1.1814
99.5,2559.36,0.02298,1.1795
97.75,2561.26,0.02339,1.1772
100.5,2562.1,0.02321,1.1795
102.5,2575.21,0.02381,1.1848
113,2564.98,0.02376,1.1754
112.5,2569.13,0.02406,1.1759
116.25,2557.15,0.02444,1.1759
110.5,2560.4,0.02452,1.1821
114,2581.07,0.02428,1.1637
122.25,2572.83,0.0237,1.1605
118.75,2575.26,0.02376,1.1653
120.5,2579.36,0.02376,1.1652
122,2579.85,0.02347,1.1629
